cohort_month,life_month,ftds_observed,active_rate
2024-09-01,0,6764,1.0
2024-09-01,1,6764,0.6387
2024-09-01,2,6764,0.5674
2024-09-01,3,6764,0.5049
2024-09-01,4,6764,0.454
2024-09-01,5,6764,0.4122
2024-09-01,6,6764,0.3764
2024-09-01,7,6764,0.3344
2024-09-01,8,6764,0.3032
2024-09-01,9,6764,0.2676
2024-09-01,10,6764,0.2479
2024-09-01,11,6764,0.2355
2024-09-01,12,6764,0.2283
2024-09-01,13,6764,0.2082
2024-09-01,14,6764,0.1943
2024-09-01,15,6764,0.1784
2024-09-01,16,6764,0.1648
2024-09-01,17,6764,0.1524
2024-09-01,18,6764,0.1416
2024-09-01,19,6764,0.1326
2024-09-01,20,6764,0.1248
2024-09-01,21,2037,0.1129
2024-10-01,0,4711,1.0
2024-10-01,1,4711,0.6232
2024-10-01,2,4711,0.5566
2024-10-01,3,4711,0.4961
2024-10-01,4,4711,0.4426
2024-10-01,5,4711,0.3995
2024-10-01,6,4711,0.3587
2024-10-01,7,4711,0.3265
2024-10-01,8,4711,0.2902
2024-10-01,9,4711,0.2596
2024-10-01,10,4711,0.2456
2024-10-01,11,4711,0.2326
2024-10-01,12,4711,0.2186
2024-10-01,13,4711,0.1985
2024-10-01,14,4711,0.1817
2024-10-01,15,4711,0.1705
2024-10-01,16,4711,0.1535
2024-10-01,17,4711,0.1469
2024-10-01,18,4711,0.1348
2024-10-01,19,4711,0.1242
2024-10-01,20,1327,0.1085
2024-11-01,0,3853,1.0
2024-11-01,1,3853,0.6268
2024-11-01,2,3853,0.5533
2024-11-01,3,3853,0.504
2024-11-01,4,3853,0.4511
2024-11-01,5,3853,0.3984
2024-11-01,6,3853,0.3566
2024-11-01,7,3853,0.3096
2024-11-01,8,3853,0.2819
2024-11-01,9,3853,0.2658
2024-11-01,10,3853,0.2582
2024-11-01,11,3853,0.2388
2024-11-01,12,3853,0.2222
2024-11-01,13,3853,0.2069
2024-11-01,14,3853,0.1915
2024-11-01,15,3853,0.1757
2024-11-01,16,3853,0.1625
2024-11-01,17,3853,0.1531
2024-11-01,18,3853,0.1391
2024-11-01,19,1003,0.1436
2024-12-01,0,3728,1.0
2024-12-01,1,3728,0.6183
2024-12-01,2,3728,0.5641
2024-12-01,3,3728,0.5115
2024-12-01,4,3728,0.4528
2024-12-01,5,3728,0.4067
2024-12-01,6,3728,0.3586
2024-12-01,7,3728,0.3305
2024-12-01,8,3728,0.3189
2024-12-01,9,3728,0.3045
2024-12-01,10,3728,0.2806
2024-12-01,11,3728,0.2597
2024-12-01,12,3728,0.2379
2024-12-01,13,3728,0.2245
2024-12-01,14,3728,0.2068
2024-12-01,15,3728,0.1899
2024-12-01,16,3728,0.1752
2024-12-01,17,3728,0.1636
2024-12-01,18,982,0.1507
2025-01-01,0,4097,1.0
2025-01-01,1,4097,0.6168
2025-01-01,2,4097,0.5546
2025-01-01,3,4097,0.5031
2025-01-01,4,4097,0.4479
2025-01-01,5,4097,0.3898
2025-01-01,6,4097,0.3537
2025-01-01,7,4097,0.3293
2025-01-01,8,4097,0.3154
2025-01-01,9,4097,0.289
2025-01-01,10,4097,0.2636
2025-01-01,11,4097,0.2407
2025-01-01,12,4097,0.2221
2025-01-01,13,4097,0.2065
2025-01-01,14,4097,0.1884
2025-01-01,15,4097,0.1743
2025-01-01,16,4097,0.164
2025-01-01,17,956,0.1423
2025-02-01,0,4035,1.0
2025-02-01,1,4035,0.6278
2025-02-01,2,4035,0.5643
2025-02-01,3,4035,0.5076
2025-02-01,4,4035,0.4359
2025-02-01,5,4035,0.3906
2025-02-01,6,4035,0.3715
2025-02-01,7,4035,0.3566
2025-02-01,8,4035,0.3237
2025-02-01,9,4035,0.2917
2025-02-01,10,4035,0.2654
2025-02-01,11,4035,0.2441
2025-02-01,12,4035,0.2216
2025-02-01,13,4035,0.2092
2025-02-01,14,4035,0.1941
2025-02-01,15,4035,0.1762
2025-02-01,16,847,0.1417
2025-03-01,0,4200,1.0
2025-03-01,1,4200,0.6205
2025-03-01,2,4200,0.5424
2025-03-01,3,4200,0.4717
2025-03-01,4,4200,0.415
2025-03-01,5,4200,0.3931
2025-03-01,6,4200,0.371
2025-03-01,7,4200,0.3398
2025-03-01,8,4200,0.3114
2025-03-01,9,4200,0.2862
2025-03-01,10,4200,0.2586
2025-03-01,11,4200,0.239
2025-03-01,12,4200,0.2195
2025-03-01,13,4200,0.205
2025-03-01,14,4200,0.1848
2025-03-01,15,1078,0.1623
2025-04-01,0,1858,1.0
2025-04-01,1,1858,0.6152
2025-04-01,2,1858,0.5296
2025-04-01,3,1858,0.4564
2025-04-01,4,1858,0.4333
2025-04-01,5,1858,0.4117
2025-04-01,6,1858,0.3714
2025-04-01,7,1858,0.3396
2025-04-01,8,1858,0.3127
2025-04-01,9,1858,0.2836
2025-04-01,10,1858,0.2567
2025-04-01,11,1858,0.2341
2025-04-01,12,1858,0.2153
2025-04-01,13,1858,0.2024
2025-04-01,14,461,0.1844
2025-05-01,0,1591,1.0
2025-05-01,1,1591,0.5651
2025-05-01,2,1591,0.5173
2025-05-01,3,1591,0.4846
2025-05-01,4,1591,0.4494
2025-05-01,5,1591,0.4092
2025-05-01,6,1591,0.3727
2025-05-01,7,1591,0.33
2025-05-01,8,1591,0.303
2025-05-01,9,1591,0.2753
2025-05-01,10,1591,0.259
2025-05-01,11,1591,0.2326
2025-05-01,12,1591,0.2137
2025-05-01,13,364,0.1923
2025-06-01,0,1363,1.0
2025-06-01,1,1363,0.5532
2025-06-01,2,1363,0.5312
2025-06-01,3,1363,0.4828
2025-06-01,4,1363,0.4497
2025-06-01,5,1363,0.4006
2025-06-01,6,1363,0.3712
2025-06-01,7,1363,0.3382
2025-06-01,8,1363,0.3111
2025-06-01,9,1363,0.2781
2025-06-01,10,1363,0.2517
2025-06-01,11,1363,0.2304
2025-06-01,12,260,0.2269
2025-07-01,0,1263,1.0
2025-07-01,1,1263,0.593
2025-07-01,2,1263,0.5408
2025-07-01,3,1263,0.4869
2025-07-01,4,1263,0.4363
2025-07-01,5,1263,0.3911
2025-07-01,6,1263,0.3642
2025-07-01,7,1263,0.323
2025-07-01,8,1263,0.3009
2025-07-01,9,1263,0.2732
2025-07-01,10,1263,0.2454
2025-07-01,11,257,0.2374
2025-08-01,0,2537,1.0
2025-08-01,1,2537,0.633
2025-08-01,2,2537,0.5739
2025-08-01,3,2537,0.5223
2025-08-01,4,2537,0.4655
2025-08-01,5,2537,0.4222
2025-08-01,6,2537,0.3839
2025-08-01,7,2537,0.3465
2025-08-01,8,2537,0.3153
2025-08-01,9,2537,0.2885
2025-08-01,10,381,0.2913
