channel,life_month,ftds,cac_per_ftd,cum_contribution_per_ftd,cum_ngr_per_ftd
affiliate,0,8101,451.54,-11.25,3.15
affiliate,1,8101,451.54,41.13,88.18
affiliate,2,8101,451.54,103.08,183.91
affiliate,3,8101,451.54,153.39,261.2
affiliate,4,8101,451.54,201.6,337.15
affiliate,5,8101,451.54,242.57,403.17
affiliate,6,8101,451.54,283.05,466.68
affiliate,7,8101,451.54,331.33,540.0
affiliate,8,8101,451.54,370.62,603.77
affiliate,9,8101,451.54,416.5,673.75
affiliate,10,8101,451.54,452.41,731.26
affiliate,11,8101,451.54,485.52,786.23
paid_social,0,10139,309.64,-37.2,-39.71
paid_social,1,10139,309.64,-0.21,18.79
paid_social,2,10139,309.64,38.71,78.23
paid_social,3,10139,309.64,64.81,121.08
paid_social,4,10139,309.64,90.15,161.83
paid_social,5,10139,309.64,119.56,206.19
paid_social,6,10139,309.64,146.13,249.0
paid_social,7,10139,309.64,180.1,299.18
paid_social,8,10139,309.64,206.59,342.2
paid_social,9,10139,309.64,229.86,378.92
paid_social,10,10139,309.64,259.05,422.92
paid_social,11,10139,309.64,284.87,460.51
referral,0,4379,160.35,2.72,23.99
referral,1,4379,160.35,72.76,130.03
referral,2,4379,160.35,123.8,212.86
referral,3,4379,160.35,177.31,294.11
referral,4,4379,160.35,236.12,384.32
referral,5,4379,160.35,271.18,440.27
referral,6,4379,160.35,319.86,516.24
referral,7,4379,160.35,364.07,583.9
referral,8,4379,160.35,403.93,648.03
referral,9,4379,160.35,454.24,726.46
referral,10,4379,160.35,510.42,808.6
referral,11,4379,160.35,540.64,858.63
search,0,7287,389.54,15.98,42.46
search,1,7287,389.54,80.23,146.26
search,2,7287,389.54,136.01,234.64
search,3,7287,389.54,187.64,316.17
search,4,7287,389.54,237.2,393.69
search,5,7287,389.54,279.43,461.9
search,6,7287,389.54,325.1,535.47
search,7,7287,389.54,369.67,603.61
search,8,7287,389.54,402.73,662.49
search,9,7287,389.54,445.63,729.26
search,10,7287,389.54,472.93,778.91
search,11,7287,389.54,517.96,850.82
tv_brand,0,6551,219.51,-20.72,-15.58
tv_brand,1,6551,219.51,24.74,55.5
tv_brand,2,6551,219.51,66.67,119.14
tv_brand,3,6551,219.51,106.1,179.61
tv_brand,4,6551,219.51,145.98,238.96
tv_brand,5,6551,219.51,175.8,286.09
tv_brand,6,6551,219.51,210.28,335.85
tv_brand,7,6551,219.51,238.45,380.47
tv_brand,8,6551,219.51,269.59,428.19
tv_brand,9,6551,219.51,301.28,476.73
tv_brand,10,6551,219.51,333.53,527.9
tv_brand,11,6551,219.51,371.58,585.49
