channel,offer,life_month,ftds,cac_per_ftd,ngr_per_ftd,variable_cost_per_ftd
affiliate,bet5_get200,0,3994,452.8,5.59,10.66
affiliate,bet5_get200,1,3994,452.8,135.56,9.46
affiliate,bet5_get200,2,3994,452.8,95.99,8.5
affiliate,bet5_get200,3,3994,452.8,78.9,7.62
affiliate,bet5_get200,4,3994,452.8,96.08,7.12
affiliate,bet5_get200,5,3994,452.8,81.98,6.3
affiliate,bet5_get200,6,3994,452.8,79.92,6.24
affiliate,bet5_get200,7,3994,452.8,77.08,6.2
affiliate,bet5_get200,8,3994,452.8,71.23,6.02
affiliate,bet5_get200,9,3994,452.8,68.5,5.75
affiliate,bet5_get200,10,3994,452.8,59.02,5.61
affiliate,bet5_get200,11,3994,452.8,74.18,5.48
affiliate,deposit_match_250,0,1637,447.88,84.16,10.92
affiliate,deposit_match_250,1,1637,447.88,119.8,9.5
affiliate,deposit_match_250,2,1637,447.88,89.48,8.72
affiliate,deposit_match_250,3,1637,447.88,80.05,7.75
affiliate,deposit_match_250,4,1637,447.88,77.3,7.82
affiliate,deposit_match_250,5,1637,447.88,91.96,7.35
affiliate,deposit_match_250,6,1637,447.88,104.74,7.33
affiliate,deposit_match_250,7,1637,447.88,65.0,7.72
affiliate,deposit_match_250,8,1637,447.88,73.49,6.94
affiliate,deposit_match_250,9,1637,447.88,90.78,7.17
affiliate,deposit_match_250,10,1637,447.88,75.9,6.78
affiliate,deposit_match_250,11,1637,447.88,80.42,6.64
affiliate,no_sweat_1000,0,2470,451.93,69.33,12.58
affiliate,no_sweat_1000,1,2470,451.93,162.08,12.36
affiliate,no_sweat_1000,2,2470,451.93,130.46,10.06
affiliate,no_sweat_1000,3,2470,451.93,167.98,9.98
affiliate,no_sweat_1000,4,2470,451.93,138.55,9.67
affiliate,no_sweat_1000,5,2470,451.93,104.17,8.74
affiliate,no_sweat_1000,6,2470,451.93,123.93,8.96
affiliate,no_sweat_1000,7,2470,451.93,91.82,8.51
affiliate,no_sweat_1000,8,2470,451.93,101.53,8.27
affiliate,no_sweat_1000,9,2470,451.93,98.62,8.21
affiliate,no_sweat_1000,10,2470,451.93,121.9,8.17
affiliate,no_sweat_1000,11,2470,451.93,106.82,7.82
paid_social,bet5_get200,0,5138,308.65,-64.82,5.97
paid_social,bet5_get200,1,5138,308.65,69.25,4.92
paid_social,bet5_get200,2,5138,308.65,69.05,4.57
paid_social,bet5_get200,3,5138,308.65,52.79,4.31
paid_social,bet5_get200,4,5138,308.65,51.46,4.36
paid_social,bet5_get200,5,5138,308.65,49.07,3.68
paid_social,bet5_get200,6,5138,308.65,28.99,3.76
paid_social,bet5_get200,7,5138,308.65,44.18,3.69
paid_social,bet5_get200,8,5138,308.65,60.1,3.67
paid_social,bet5_get200,9,5138,308.65,46.34,3.42
paid_social,bet5_get200,10,5138,308.65,36.94,3.38
paid_social,bet5_get200,11,5138,308.65,39.2,3.6
paid_social,deposit_match_250,0,1997,310.86,19.03,6.12
paid_social,deposit_match_250,1,1997,310.86,72.63,5.4
paid_social,deposit_match_250,2,1997,310.86,71.47,4.66
paid_social,deposit_match_250,3,1997,310.86,43.65,4.45
paid_social,deposit_match_250,4,1997,310.86,68.18,4.26
paid_social,deposit_match_250,5,1997,310.86,53.44,4.26
paid_social,deposit_match_250,6,1997,310.86,38.91,3.93
paid_social,deposit_match_250,7,1997,310.86,48.23,4.12
paid_social,deposit_match_250,8,1997,310.86,53.71,4.07
paid_social,deposit_match_250,9,1997,310.86,63.63,4.06
paid_social,deposit_match_250,10,1997,310.86,40.09,3.59
paid_social,deposit_match_250,11,1997,310.86,64.05,3.71
paid_social,no_sweat_1000,0,3004,310.52,-3.23,7.73
paid_social,no_sweat_1000,1,3004,310.52,92.47,6.57
paid_social,no_sweat_1000,2,3004,310.52,98.63,6.5
paid_social,no_sweat_1000,3,3004,310.52,96.82,5.93
paid_social,no_sweat_1000,4,3004,310.52,62.52,5.45
paid_social,no_sweat_1000,5,3004,310.52,59.17,5.21
paid_social,no_sweat_1000,6,3004,310.52,49.46,5.16
paid_social,no_sweat_1000,7,3004,310.52,69.37,4.99
paid_social,no_sweat_1000,8,3004,310.52,50.67,4.48
paid_social,no_sweat_1000,9,3004,310.52,74.56,4.47
paid_social,no_sweat_1000,10,3004,310.52,39.88,4.02
paid_social,no_sweat_1000,11,3004,310.52,49.55,4.49
referral,bet5_get200,0,2164,161.12,24.04,11.63
referral,bet5_get200,1,2164,161.12,149.24,10.12
referral,bet5_get200,2,2164,161.12,131.65,9.59
referral,bet5_get200,3,2164,161.12,102.15,8.59
referral,bet5_get200,4,2164,161.12,103.27,7.91
referral,bet5_get200,5,2164,161.12,80.78,7.05
referral,bet5_get200,6,2164,161.12,65.19,6.49
referral,bet5_get200,7,2164,161.12,102.88,6.92
referral,bet5_get200,8,2164,161.12,65.51,6.44
referral,bet5_get200,9,2164,161.12,83.34,6.5
referral,bet5_get200,10,2164,161.12,56.98,6.58
referral,bet5_get200,11,2164,161.12,64.98,6.31
referral,deposit_match_250,0,876,158.78,91.07,10.45
referral,deposit_match_250,1,876,158.78,133.39,8.78
referral,deposit_match_250,2,876,158.78,135.57,8.23
referral,deposit_match_250,3,876,158.78,83.83,7.17
referral,deposit_match_250,4,876,158.78,99.19,6.63
referral,deposit_match_250,5,876,158.78,149.32,6.34
referral,deposit_match_250,6,876,158.78,60.72,6.9
referral,deposit_match_250,7,876,158.78,46.74,5.92
referral,deposit_match_250,8,876,158.78,39.73,6.22
referral,deposit_match_250,9,876,158.78,40.14,5.65
referral,deposit_match_250,10,876,158.78,73.79,5.42
referral,deposit_match_250,11,876,158.78,65.94,6.57
referral,no_sweat_1000,0,1339,160.11,92.61,13.61
referral,no_sweat_1000,1,1339,160.11,142.0,11.68
referral,no_sweat_1000,2,1339,160.11,130.62,11.08
referral,no_sweat_1000,3,1339,160.11,122.65,9.94
referral,no_sweat_1000,4,1339,160.11,136.22,9.47
referral,no_sweat_1000,5,1339,160.11,107.96,8.86
referral,no_sweat_1000,6,1339,160.11,81.65,8.86
referral,no_sweat_1000,7,1339,160.11,118.97,8.62
referral,no_sweat_1000,8,1339,160.11,94.9,7.64
referral,no_sweat_1000,9,1339,160.11,91.17,7.34
referral,no_sweat_1000,10,1339,160.11,91.66,7.41
referral,no_sweat_1000,11,1339,160.11,67.05,8.02
search,bet5_get200,0,3661,389.23,55.17,11.6
search,bet5_get200,1,3661,389.23,127.81,9.98
search,bet5_get200,2,3661,389.23,117.18,8.98
search,bet5_get200,3,3661,389.23,109.5,8.32
search,bet5_get200,4,3661,389.23,126.05,7.7
search,bet5_get200,5,3661,389.23,88.54,7.42
search,bet5_get200,6,3661,389.23,68.39,7.7
search,bet5_get200,7,3661,389.23,101.82,7.36
search,bet5_get200,8,3661,389.23,94.11,7.13
search,bet5_get200,9,3661,389.23,65.47,7.1
search,bet5_get200,10,3661,389.23,93.88,6.72
search,bet5_get200,11,3661,389.23,79.42,6.6
search,deposit_match_250,0,1468,391.17,107.68,10.48
search,deposit_match_250,1,1468,391.17,113.13,8.6
