pctile,n,mean_contribution,cum_share_of_total
1,365,25834.67,0.5332
2,365,8686.48,0.7125
3,365,5439.79,0.8248
4,365,3691.72,0.901
5,365,2710.88,0.957
6,365,2086.36,1.0
7,365,1664.75,1.0344
8,365,1371.41,1.0627
9,365,1126.41,1.0859
10,365,941.23,1.1054
11,365,786.04,1.1216
12,365,669.27,1.1354
13,365,573.14,1.1472
14,365,488.51,1.1573
15,365,421.84,1.166
16,365,366.3,1.1736
17,365,318.98,1.1802
18,365,273.51,1.1858
19,365,234.06,1.1906
20,365,201.63,1.1948
21,365,174.88,1.1984
22,365,149.17,1.2015
23,365,127.05,1.2041
24,365,108.45,1.2063
25,365,91.58,1.2082
26,365,75.41,1.2098
27,365,62.05,1.2111
28,365,50.79,1.2121
29,365,40.0,1.213
30,365,30.4,1.2136
31,365,21.85,1.214
32,365,14.24,1.2143
33,365,7.37,1.2145
34,365,1.39,1.2145
35,365,-3.71,1.2144
36,365,-8.31,1.2143
37,365,-12.67,1.214
38,365,-16.6,1.2137
39,365,-20.05,1.2132
40,365,-22.94,1.2128
41,365,-25.77,1.2122
42,365,-28.22,1.2117
43,365,-30.88,1.211
44,365,-33.39,1.2103
45,365,-35.87,1.2096
46,365,-38.27,1.2088
47,365,-40.53,1.208
48,365,-42.73,1.2071
49,365,-44.88,1.2061
50,365,-46.98,1.2052
51,365,-49.09,1.2042
52,365,-51.17,1.2031
53,365,-53.18,1.202
54,365,-55.03,1.2009
55,365,-57.1,1.1997
56,365,-59.01,1.1985
57,365,-61.05,1.1972
58,364,-63.1,1.1959
59,364,-65.18,1.1946
60,364,-67.26,1.1932
61,364,-69.53,1.1918
62,364,-71.67,1.1903
63,364,-73.76,1.1888
64,364,-75.98,1.1872
65,364,-78.2,1.1856
66,364,-80.51,1.1839
67,364,-82.89,1.1822
68,364,-85.29,1.1805
69,364,-87.74,1.1787
70,364,-90.46,1.1768
71,364,-93.16,1.1749
72,364,-95.65,1.1729
73,364,-98.4,1.1709
74,364,-101.12,1.1688
75,364,-104.0,1.1667
76,364,-107.15,1.1645
77,364,-110.29,1.1622
78,364,-113.44,1.1599
79,364,-116.85,1.1575
80,364,-120.63,1.155
81,364,-124.19,1.1524
82,364,-128.2,1.1498
83,364,-132.48,1.1471
84,364,-136.9,1.1442
85,364,-142.33,1.1413
86,364,-147.72,1.1383
87,364,-153.58,1.1351
88,364,-160.05,1.1318
89,364,-167.39,1.1284
90,364,-175.92,1.1247
91,364,-186.25,1.1209
92,364,-198.37,1.1168
93,364,-213.46,1.1124
94,364,-232.18,1.1077
95,364,-262.66,1.1022
96,364,-310.48,1.0959
97,364,-388.45,1.0879
98,364,-525.17,1.0771
99,364,-851.96,1.0595
100,364,-2891.4,1.0
