channel,offer,ftds,cac,ltv_12m,ltv_to_cac
affiliate,bet5_get200,3994,453.0,607.0,1.34
affiliate,deposit_match_250,1637,448.0,671.0,1.5
affiliate,no_sweat_1000,2470,452.0,928.0,2.05
paid_social,bet5_get200,5138,309.0,310.0,1.0
paid_social,deposit_match_250,1997,311.0,424.0,1.36
paid_social,no_sweat_1000,3004,311.0,470.0,1.51
referral,bet5_get200,2164,161.0,672.0,4.17
referral,deposit_match_250,876,159.0,648.0,4.08
referral,no_sweat_1000,1339,160.0,807.0,5.04
search,bet5_get200,3661,389.0,729.0,1.87
search,deposit_match_250,1468,391.0,660.0,1.69
search,no_sweat_1000,2158,389.0,815.0,2.1
tv_brand,bet5_get200,3249,220.0,451.0,2.05
tv_brand,deposit_match_250,1336,220.0,472.0,2.15
tv_brand,no_sweat_1000,1966,219.0,552.0,2.52
