channel,state,ftds,current_cac,breakeven_cac
affiliate,AZ,626,444.0,624.0
affiliate,CO,857,453.0,493.0
affiliate,IL,962,452.0,886.0
affiliate,MA,629,452.0,709.0
affiliate,MI,617,447.0,545.0
affiliate,NJ,991,449.0,565.0
affiliate,NY,1621,449.0,415.0
affiliate,OH,814,451.0,744.0
affiliate,PA,984,449.0,451.0
paid_social,AZ,865,309.0,370.0
paid_social,CO,978,312.0,435.0
paid_social,IL,1198,309.0,196.0
paid_social,MA,789,307.0,461.0
paid_social,MI,833,311.0,240.0
paid_social,NJ,1186,310.0,337.0
paid_social,NY,2033,310.0,166.0
paid_social,OH,996,308.0,394.0
paid_social,PA,1261,310.0,239.0
referral,AZ,351,162.0,442.0
referral,CO,440,159.0,749.0
referral,IL,517,160.0,642.0
referral,MA,360,161.0,425.0
referral,MI,342,164.0,670.0
referral,NJ,518,158.0,515.0
referral,NY,899,159.0,432.0
referral,OH,442,159.0,532.0
referral,PA,510,159.0,861.0
search,AZ,588,395.0,500.0
search,CO,725,390.0,603.0
search,IL,920,386.0,708.0
search,MA,605,387.0,903.0
search,MI,576,399.0,546.0
search,NJ,873,388.0,772.0
search,NY,1440,391.0,464.0
search,OH,757,390.0,671.0
search,PA,803,392.0,549.0
tv_brand,AZ,519,218.0,569.0
tv_brand,CO,647,222.0,533.0
tv_brand,IL,804,219.0,502.0
tv_brand,MA,498,225.0,574.0
tv_brand,MI,525,217.0,533.0
tv_brand,NJ,815,219.0,529.0
tv_brand,NY,1337,219.0,163.0
tv_brand,OH,619,220.0,596.0
tv_brand,PA,787,223.0,369.0
