channel,life_month,ftds_observed,active_rate
affiliate,0,8101,1.0
affiliate,1,8101,0.5867
affiliate,2,8101,0.5215
affiliate,3,8101,0.4691
affiliate,4,8101,0.4183
affiliate,5,8101,0.3819
affiliate,6,8101,0.3411
affiliate,7,8101,0.3124
affiliate,8,8101,0.2928
affiliate,9,8101,0.2664
affiliate,10,8101,0.2455
affiliate,11,8101,0.2281
paid_social,0,10139,1.0
paid_social,1,10139,0.5726
paid_social,2,10139,0.5051
paid_social,3,10139,0.4452
paid_social,4,10139,0.3932
paid_social,5,10139,0.3503
paid_social,6,10139,0.3175
paid_social,7,10139,0.2829
paid_social,8,10139,0.2576
paid_social,9,10139,0.232
paid_social,10,10139,0.211
paid_social,11,10139,0.1943
referral,0,4379,1.0
referral,1,4379,0.6956
referral,2,4379,0.6211
referral,3,4379,0.5755
referral,4,4379,0.5195
referral,5,4379,0.4732
referral,6,4379,0.4371
referral,7,4379,0.3992
referral,8,4379,0.3729
referral,9,4379,0.3446
referral,10,4379,0.3204
referral,11,4379,0.2976
search,0,7287,1.0
search,1,7287,0.6568
search,2,7287,0.5997
search,3,7287,0.5344
search,4,7287,0.4839
search,5,7287,0.4417
search,6,7287,0.4084
search,7,7287,0.3733
search,8,7287,0.341
search,9,7287,0.3114
search,10,7287,0.2918
search,11,7287,0.2732
tv_brand,0,6551,1.0
tv_brand,1,6551,0.6397
tv_brand,2,6551,0.5726
tv_brand,3,6551,0.5127
tv_brand,4,6551,0.455
tv_brand,5,6551,0.407
tv_brand,6,6551,0.3763
tv_brand,7,6551,0.3473
tv_brand,8,6551,0.3149
tv_brand,9,6551,0.287
tv_brand,10,6551,0.2671
tv_brand,11,6551,0.2473
