month,bet_type,bets,handle,ggr,hold
2024-09-01,live,11767,1081404.0,34041.0,0.0315
2024-09-01,parlay,20094,1158853.0,165457.0,0.1428
2024-09-01,sgp,14493,606784.0,121451.0,0.2002
2024-09-01,straight,28065,2523099.0,66885.0,0.0265
2024-10-01,live,28896,2636735.0,178807.0,0.0678
2024-10-01,parlay,45651,2940799.0,507720.0,0.1726
2024-10-01,sgp,32196,1529524.0,400250.0,0.2617
2024-10-01,straight,65155,6499229.0,336306.0,0.0517
2024-11-01,live,37597,3525452.0,68097.0,0.0193
2024-11-01,parlay,57658,3733209.0,620470.0,0.1662
2024-11-01,sgp,40916,2102894.0,380191.0,0.1808
2024-11-01,straight,82622,8457640.0,349289.0,0.0413
2024-12-01,live,46823,4314235.0,189268.0,0.0439
2024-12-01,parlay,70254,4472645.0,680631.0,0.1522
2024-12-01,sgp,49947,2537051.0,453564.0,0.1788
2024-12-01,straight,100677,9934556.0,553968.0,0.0558
2025-01-01,live,56746,5480705.0,409271.0,0.0747
2025-01-01,parlay,84730,5735749.0,1006825.0,0.1755
2025-01-01,sgp,60419,3266803.0,660965.0,0.2023
2025-01-01,straight,121605,12657496.0,808050.0,0.0638
2025-02-01,live,50427,4847599.0,82672.0,0.0171
2025-02-01,parlay,73881,5033223.0,666346.0,0.1324
2025-02-01,sgp,53756,2853852.0,550146.0,0.1928
2025-02-01,straight,107557,11209428.0,280811.0,0.0251
2025-03-01,live,74329,7235357.0,73881.0,0.0102
2025-03-01,parlay,108432,7532094.0,918136.0,0.1219
2025-03-01,sgp,77974,4240726.0,789875.0,0.1863
2025-03-01,straight,157231,16360553.0,111306.0,0.0068
2025-04-01,live,70185,6867079.0,464436.0,0.0676
2025-04-01,parlay,100170,7084238.0,1051381.0,0.1484
2025-04-01,sgp,71759,3983149.0,932722.0,0.2342
2025-04-01,straight,146511,15585062.0,988621.0,0.0634
2025-05-01,live,75221,7496958.0,437160.0,0.0583
2025-05-01,parlay,105450,7529759.0,1271186.0,0.1688
2025-05-01,sgp,75365,4139205.0,1084634.0,0.262
2025-05-01,straight,154553,16541460.0,862340.0,0.0521
2025-06-01,live,57423,5857148.0,399115.0,0.0681
2025-06-01,parlay,79863,5919246.0,974488.0,0.1646
2025-06-01,sgp,57651,3350498.0,816575.0,0.2437
2025-06-01,straight,118196,13029675.0,869974.0,0.0668
2025-07-01,live,44899,4493233.0,254723.0,0.0567
2025-07-01,parlay,62782,4599317.0,615916.0,0.1339
2025-07-01,sgp,44417,2546054.0,567029.0,0.2227
2025-07-01,straight,92540,9984852.0,515252.0,0.0516
2025-08-01,live,54699,5366959.0,318463.0,0.0593
2025-08-01,parlay,74902,5375123.0,680950.0,0.1267
2025-08-01,sgp,53640,3002135.0,696356.0,0.232
2025-08-01,straight,110892,12015093.0,406268.0,0.0338
2025-09-01,live,81511,8346215.0,527272.0,0.0632
2025-09-01,parlay,108562,8079530.0,1455700.0,0.1802
2025-09-01,sgp,77596,4588437.0,1043640.0,0.2274
2025-09-01,straight,162476,18125988.0,1059136.0,0.0584
2025-10-01,live,83616,8645660.0,527043.0,0.061
2025-10-01,parlay,110667,8398911.0,1509648.0,0.1797
2025-10-01,sgp,78420,4642219.0,979689.0,0.211
2025-10-01,straight,165402,18766130.0,1222249.0,0.0651
2025-11-01,live,75205,7995286.0,531096.0,0.0664
2025-11-01,parlay,97601,7755520.0,1438795.0,0.1855
2025-11-01,sgp,69642,4229664.0,1025813.0,0.2425
2025-11-01,straight,147788,17199545.0,1040165.0,0.0605
2025-12-01,live,71499,7616778.0,562051.0,0.0738
2025-12-01,parlay,91350,7257896.0,1185350.0,0.1633
2025-12-01,sgp,64783,4073454.0,1050093.0,0.2578
2025-12-01,straight,140627,16578938.0,893089.0,0.0539
2026-01-01,live,69349,7274254.0,370239.0,0.0509
2026-01-01,parlay,87444,7011530.0,1117867.0,0.1594
2026-01-01,sgp,62211,3839394.0,844915.0,0.2201
2026-01-01,straight,134906,15664034.0,765784.0,0.0489
2026-02-01,live,50379,5319741.0,196185.0,0.0369
2026-02-01,parlay,63279,5143907.0,725773.0,0.1411
2026-02-01,sgp,44915,2829009.0,717959.0,0.2538
2026-02-01,straight,97681,11335424.0,557598.0,0.0492
2026-03-01,live,62459,6693894.0,346175.0,0.0517
2026-03-01,parlay,77887,6466000.0,1071683.0,0.1657
2026-03-01,sgp,55182,3545299.0,818147.0,0.2308
2026-03-01,straight,120070,14164878.0,660373.0,0.0466
2026-04-01,live,52742,5675148.0,199462.0,0.0351
2026-04-01,parlay,65302,5377306.0,889561.0,0.1654
2026-04-01,sgp,46298,2978378.0,576075.0,0.1934
2026-04-01,straight,101558,12299218.0,481876.0,0.0392
2026-05-01,live,52858,5648308.0,404915.0,0.0717
2026-05-01,parlay,64406,5427073.0,1011714.0,0.1864
2026-05-01,sgp,46138,3031420.0,736851.0,0.2431
2026-05-01,straight,101050,12184605.0,875337.0,0.0718
2026-06-01,live,38421,4201537.0,266551.0,0.0634
2026-06-01,parlay,46905,3994210.0,801009.0,0.2005
2026-06-01,sgp,33105,2210567.0,603979.0,0.2732
2026-06-01,straight,73568,8977073.0,411950.0,0.0459
